,COD_PERIODO,COD_PAIS,TARGET,ALCANCE,ESTRUCTURA_VENTA,COD_SUBESTRATEGIA,DES_SUBESTRATEGIA,COD_CUC,COD_UNIDAD_NEGOCIO,DES_UNIDAD_NEGOCIO,COD_MARCA,DES_MARCA,DES_CLASE,COD_CATEGORIA,DES_CATEGORIA,COD_TIPOSOLO,DES_TIPOSOLO,ES_EMPAQUE,ES_MUESTRA,DES_CUC,PRECIO_NORMAL,PRECIO_OFERTA,FACTOR_REPETICION,REAL_VENTA_NETA_MONEDA_LOCAL,OFFER_UNIT_DSCT,OFFER_DSCT,PUP,DESLINEA,DESSUBCATEGORIA,DESESTATUS,ANIOCAMPANAINTRO
58,202213,PE,CONSULTORA,MASIVO,3558_3679_330487_330487,3,SET,200095931,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES IMPREDECIBLE 50ML,109.0,28.9,1.0,7738.84,0.734862,0.675278,0.002352,IMPREDECIBLE,DAMAS,A DESCONTINUAR CONGELADO,201401.0
60,202206,PE,CONSULTORA,MASIVO,1241_1312_292693_292693,2,SET,200051232,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES D'ORSAY PARF 90 ML,160.0,65.65,1.0,33884.64,0.589687,0.590449,0.004991,D'ORSAY,MASCULINO,ACTIVO,201813.0
62,202403,PE,CONSULTORA,MASIVO,2911_3142_47963_47963,2,SET,P0602155135,50,APOYO,B,ESIKA,PROMOCIONES DE 3ROS,72,PROMOCION USUARIOS,33,BOLSA,1,0,,3.0,0.0,1.0,0.0,1.0,0.737427,0.005153,,,,
65,202206,PE,CONSULTORA,MASIVO,1227_1298_292679_292679,2,SET,200056621,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,234,DAMAS,0,0,ES FIORI TALCO PERF 140G,36.0,10.12,1.0,43464.17,0.718889,0.710323,0.03924,FIORI,TALCOS,ACTIVO,201401.0
66,202213,PE,CONSULTORA,MASIVO,3313_3434_330236_330236,2,SET,P0292092008,10,COSMETICOS,B,ESIKA,MAQUILLAJE,2,MAQUILLAJE,25,MASCARA,0,0,ES PRO MASC ICONO VOLUMEN 8G,80.0,17.28,1.0,2005.7,0.784,0.707166,0.00102,ESIKA PRO,PARA OJOS,LIQUIDACIÓN,202406.0
68,202314,PE,CONSULTORA,MASIVO,1380_1595_18884_18884,999,VOLUMEN,200043487,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,ES FIORI DESO 50ML,18.0,7.63,3.0,4650.75,0.576111,0.60324,0.005309,FIORI,DESODORANTES,ANTES DE APARECER (NUEVO),201401.0
70,202310,PE,CONSULTORA,MASIVO,1007_1059_406426_406426,1,INDIVIDUAL,P0521700248,20,ACCESORIOS,B,ESIKA,RELOJES,22,RELOJES,219,ANÁLOGO,0,0,,190.0,84.9,1.0,77346.25,0.553158,0.553158,0.007796,,,,
72,202215,PE,CONSULTORA,MASIVO,1199_1251_338670_338670,999,VOLUMEN,200058349,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES PULSO 100ML,160.0,42.88,1.0,33323.78,0.732,0.718958,0.006693,PULSO,MASCULINO,ACTIVO,202105.0
78,202314,PE,CONSULTORA,MASIVO,2625_3090_20580_20580,1,INDIVIDUAL,P0596048418,20,ACCESORIOS,B,ESIKA,BIJOUTERIE,21,BIJOUTERIE,106,ESTUCHES ARETES,0,0,,100.0,44.9,1.0,4984.55,0.551,0.551,0.000967,,,,
79,202301,PE,CONSULTORA,MASIVO,3014_3489_363449_363449,2,SET,200039966,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,35,ESPECIFICOS,0,0,ES MULTI TALC PIES 500G,68.0,21.1,1.0,625.8,0.689706,0.689865,0.000282,LINEA DE PIES,TALCOS,A DESCONTINUAR CONGELADO,202106.0
83,202306,PE,CONSULTORA,MASIVO,1193_1620_385202_385202,2,SET,200084602,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES LEYENDA 100ML,160.0,53.02,1.0,14332.67,0.668625,0.677434,0.002353,LEYENDA,MASCULINO,INACTIVO,201608.0
88,202306,PE,CONSULTORA,MASIVO,3323_4237_388257_388257,2,SET,P0602155135,50,APOYO,B,ESIKA,PROMOCIONES DE 3ROS,72,PROMOCION USUARIOS,33,BOLSA,1,0,,6.0,0.0,1.0,0.0,1.0,0.648039,0.014744,,,,
89,202307,PE,CONSULTORA,MASIVO,4121_4514_394458_394458,999,VOLUMEN,200009812,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES EXUS 100ML,130.0,36.35,8.0,739.32,0.720385,0.720385,0.000174,EROS/EXUS,CABALLEROS,INACTIVO,198601.0
91,202305,PE,CONSULTORA,MASIVO,2992_3891_382386_382386,1,INDIVIDUAL,P0591344644,20,ACCESORIOS,B,ESIKA,BIJOUTERIE,21,BIJOUTERIE,101,ARETES,0,0,,95.0,44.9,1.0,1217.6,0.527368,0.527368,0.000239,,,,
93,202214,PE,CONSULTORA,MASIVO,1176_1258_333408_333408,999,VOLUMEN,200059112,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,ES EXUS DESO 50ML,18.0,8.9,1.0,3694.6,0.505556,0.517832,0.003719,EROS/EXUS,DESODORANTES,,201401.0
94,202208,PE,CONSULTORA,MASIVO,2707_2848_303742_303742,991,INDIVIDUAL,P0292139009,10,COSMETICOS,B,ESIKA,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,ES LABIAL HIDRACOLOR MATE 6ML,50.0,19.9,1.0,3304.63,0.602,0.602,0.001901,ESIKA PRO,PARA LABIOS,A DESCONTINUAR CONGELADO,202409.0
99,202215,PE,CONSULTORA,MASIVO,3085_3196_340352_340352,1,INDIVIDUAL,P0596048121,20,ACCESORIOS,B,ESIKA,BIJOUTERIE,21,BIJOUTERIE,106,ESTUCHES ARETES,0,0,,100.0,34.9,1.0,2248.07,0.651,0.651,0.000555,,,,
103,202204,PE,CONSULTORA,MASIVO,1397_1507_283410_283410,999,VOLUMEN,200043496,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,ES ITSYOU DESO 50ML,18.0,6.58,5.0,10831.39,0.634444,0.650338,0.016966,YOU / IT'S YOU,DESODORANTES,Inactivo,
106,202316,PE,CONSULTORA,MASIVO,973_1031_26313_26313,1,INDIVIDUAL,P0596048634,20,ACCESORIOS,B,ESIKA,BIJOUTERIE,21,BIJOUTERIE,107,ESTUCHES OTROS,0,0,,110.0,51.9,1.0,27619.6,0.528182,0.528182,0.004439,,,,
110,202311,PE,CONSULTORA,MASIVO,1007_1205_6319_6319,2,SET,200045540,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,235,CABALLEROS,0,0,ES KALOS SPORT TALCO PERF 140G,36.0,12.31,1.0,24656.65,0.658056,0.658152,0.017054,KALOS SPORT/WINNER SPORT,TALCOS,ACTIVO,202109.0
112,202303,PE,CONSULTORA,MASIVO,1168_1218_370007_370007,2,SET,P0602155135,50,APOYO,B,ESIKA,PROMOCIONES DE 3ROS,72,PROMOCION USUARIOS,33,BOLSA,1,0,,3.0,0.0,1.0,0.0,1.0,0.731138,0.007522,,,,
