,COD_PERIODO,COD_PAIS,TARGET,ALCANCE,ESTRUCTURA_VENTA,COD_SUBESTRATEGIA,DES_SUBESTRATEGIA,COD_CUC,COD_UNIDAD_NEGOCIO,DES_UNIDAD_NEGOCIO,COD_MARCA,DES_MARCA,DES_CLASE,COD_CATEGORIA,DES_CATEGORIA,COD_TIPOSOLO,DES_TIPOSOLO,ES_EMPAQUE,ES_MUESTRA,DES_CUC,PRECIO_NORMAL,PRECIO_OFERTA,FACTOR_REPETICION,REAL_VENTA_NETA_MONEDA_LOCAL,OFFER_UNIT_DSCT,OFFER_DSCT,PUP,DESLINEA,DESSUBCATEGORIA,DESESTATUS,ANIOCAMPANAINTRO
2,202308,PE,CONSULTORA,MASIVO,3384_3541_3392_3392,1,INDIVIDUAL,P0596048576,20,ACCESORIOS,C,CYZONE,BIJOUTERIE,21,BIJOUTERIE,106,ESTUCHES ARETES,0,0,,88.0,29.9,1.0,64946.36,0.660227,0.660227,0.018725,,,,
3,202315,PE,CONSULTORA,MASIVO,3001_3343_24993_24993,999,VOLUMEN,P0132056004,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,86,DELINEADOR OJOS,0,0,CZ SL DELINEADOR PLUMON 1ML,40.0,12.47,2.0,2008.26,0.68825,0.685549,0.001423,STUDIO LOOK,,,
4,202211,PE,CONSULTORA,MASIVO,1111_1186_316905_316905,999,VOLUMEN,200107337,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,18,DESMANCHADORAS-ACLARADORAS,0,0,CZ SKIN F SERU CORRECTOR 19ML,1.0,12.5,2.0,35513.31,-11.5,0.29292,0.025414,SKIN FIRST,PARA ROSTRO,DUAL PLANNING,202211.0
9,202307,PE,CONSULTORA,MASIVO,1362_1440_391272_391272,999,VOLUMEN,210059944,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX MYSTERIOUS 150ML,48.0,14.98,6.0,27507.07,0.687917,0.7004,0.0157,TRAX,DESODORANTES,ACTIVO,202113.0
10,202403,PE,CONSULTORA,MASIVO,1397_1581_46442_46442,999,VOLUMEN,P0509654519,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,398,MALETIN,0,0,,134.0,64.9,1.0,44385.0,0.515672,0.515672,0.009387,,,,
11,202305,PE,CONSULTORA,MASIVO,1498_1977_379971_379971,999,VOLUMEN,210047499,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX SO CLOSE 150ML,48.0,22.9,1.0,20186.15,0.522917,0.522917,0.007779,TRAX,DESODORANTES,INACTIVO,201401.0
13,202312,PE,CONSULTORA,MASIVO,1141_1187_10258_10258,999,VOLUMEN,200103458,10,COSMETICOS,C,CYZONE,FRAGANCIAS,12,MUESTRAS COSMETICOS,286,COLONIA FEMENINA,0,0,CZ PURE BLOOM PROB 2ML,1.9,1.16,15.0,0.98,0.389474,0.389474,7e-06,PURE BLOOM,FRAGANCIAS,INACTIVO,202106.0
21,202314,PE,CONSULTORA,MASIVO,2804_3269_20774_20774,1,INDIVIDUAL,200067317,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,CZ GIRLINK ROLL ON 50ML,18.0,8.9,1.0,294.06,0.505556,0.50945,0.000288,GIRLINK,DESODORANTES,INACTIVO,201401.0
28,202209,PE,CONSULTORA,MASIVO,3444_3560_309149_309149,2,SET,200044012,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ DANCING 100ML,74.0,23.3,1.0,2429.2,0.685135,0.69207,0.000966,DANCING,DAMAS,INACTIVO,201401.0
31,202205,PE,CONSULTORA,MASIVO,1247_1352_287840_287840,999,VOLUMEN,210059944,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX MYSTERIOUS 150ML,45.0,20.9,1.0,11847.99,0.535556,0.5526,0.00524,TRAX,DESODORANTES,ACTIVO,202113.0
37,202209,PE,CONSULTORA,MASIVO,1192_1245_306786_306786,999,VOLUMEN,210059944,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX MYSTERIOUS 150ML,45.0,21.9,1.0,5159.68,0.513333,0.5328,0.002183,TRAX,DESODORANTES,ACTIVO,202113.0
39,202214,PE,CONSULTORA,MASIVO,3299_3433_335765_335765,3,SET,210047499,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX SO CLOSE 150ML,46.0,14.44,1.0,3671.92,0.686087,0.686014,0.002277,TRAX,DESODORANTES,INACTIVO,201401.0
46,202312,PE,CONSULTORA,MASIVO,2667_3245_12245_12245,2,SET,200041664,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ BLUE&BLUE FOR HIM 75ML,84.0,25.56,1.0,974.7,0.695714,0.695732,0.000323,BLUE&BLUE FOR HIM,CABALLEROS,ACTIVO,202216.0
49,202315,PE,CONSULTORA,MASIVO,1136_1225_22735_22735,999,VOLUMEN,200109874,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ SWEETB EXCLSIVE EDP 50 ML,80.0,34.9,1.0,36412.42,0.56375,0.56375,0.009222,SWEET BLACK EXCLUSIVE,DAMAS,ACTIVO,202303.0
50,202404,PE,CONSULTORA,MASIVO,779_854_55790_55790,1,INDIVIDUAL,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,19.9,1.0,0.0,0.668333,0.668333,0.0,PRINTS,DAMAS,INACTIVO,198601.0
59,202214,PE,CONSULTORA,MASIVO,3023_3157_335415_335415,2,SET,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,17.75,1.0,7189.17,0.704167,0.704138,0.003628,PRINTS,DAMAS,INACTIVO,198601.0
61,202218,PE,CONSULTORA,MASIVO,1235_1448_355771_355771,1,INDIVIDUAL,P0509654026,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,512,BOLSO,0,0,,170.0,82.9,1.0,117593.92,0.512353,0.512353,0.01216,,,,
67,202218,PE,CONSULTORA,MASIVO,1347_1608_355957_355957,999,VOLUMEN,200082481,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ SCORE 50ML,72.0,19.0,1.0,34031.35,0.736111,0.737809,0.015255,SCORE,CABALLEROS,ACTIVO,201505.0
69,202301,PE,CONSULTORA,MASIVO,1107_1168_361089_361089,999,VOLUMEN,200094936,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,CZ TASTE COOL 200ML,49.0,14.98,6.0,10115.54,0.694286,0.691134,0.006422,TASTE COOL,FEMENINO,ANTES DE APARECER (NUEVO),202502.0
71,202306,PE,CONSULTORA,MASIVO,3443_4357_388397_388397,3,SET,P0132053000,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,CZ SL LABIAL MATE 6ML,38.0,14.82,1.0,87.92,0.61,0.609804,5.2e-05,STUDIO LOOK,PARA LABIOS,LIQUIDACIÓN,202303.0
74,202303,PE,CONSULTORA,MASIVO,3061_3555_372509_372509,3,SET,200054026,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,25,MASCARA,0,0,CZ MASCARA SECRETLASH 5.8G,37.0,11.57,1.0,3747.26,0.687297,0.687255,0.002834,CY,PARA OJOS,INACTIVO,201801.0
75,202316,PE,CONSULTORA,MASIVO,2711_2886_28226_28226,1,INDIVIDUAL,P0509654077,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,512,BOLSO,0,0,,103.0,49.9,1.0,6808.68,0.515534,0.515534,0.001138,,,,
77,202402,PE,CONSULTORA,MASIVO,928_979_41966_41966,1,INDIVIDUAL,P0772492231,40,HOGAR,C,CYZONE,HOGAR,34,HOGAR,610,BELLEZA,0,0,,72.0,34.9,1.0,117133.9,0.515278,0.515278,0.03395,,,,
80,202402,PE,CONSULTORA,MASIVO,936_987_41974_41974,1,INDIVIDUAL,200105033,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,37,LIMPIADORA-DEMAQUILLADORA,0,0,CZ SKINF LIMP HID PURIFIC 100G,42.0,18.9,1.0,9547.53,0.55,0.55,0.005338,SKIN FIRST,PARA ROSTRO,LIQUIDACION CON PLAN,202203.0
86,202315,PE,CONSULTORA,MASIVO,1149_1274_22784_22784,999,VOLUMEN,200091709,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ FIST 50ML,76.0,19.98,3.0,55472.93,0.737105,0.750179,0.024543,FIST,CABALLEROS,ACTIVO,201808.0
87,202204,PE,CONSULTORA,MASIVO,1400_1514_283417_283417,999,VOLUMEN,200092025,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,CZ MISS SEXY PROVOCATIVE 200ML,48.0,20.9,1.0,4144.14,0.564583,0.564583,0.001866,MISS SEXY,FAMILIAR BAÑO,ACTIVO,202404.0
96,202309,PE,CONSULTORA,MASIVO,3270_3940_405042_405042,999,VOLUMEN,200097894,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,40,HUMECTANTES,0,0,CZ SF CR HIDRA BYE 50G,54.0,22.25,2.0,37.71,0.587963,0.587963,1.5e-05,SKIN FIRST,PARA ROSTRO,LIQUIDACIÓN,202207.0
97,202318,PE,CONSULTORA,MASIVO,1232_1309_34907_34907,2,SET,P0132062000,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,CZ SL LL SUPERMATE 2G,36.0,15.0,1.0,2770.78,0.583333,0.657959,0.001584,STUDIO LOOK,PARA LABIOS,ACTIVO,202406.0
98,202315,PE,CONSULTORA,MASIVO,1119_1168_22671_22671,999,VOLUMEN,200106358,10,COSMETICOS,C,CYZONE,FRAGANCIAS,12,MUESTRAS COSMETICOS,286,COLONIA FEMENINA,0,0,CZ AUTENTIK PROB 2 ML,1.9,1.02,20.0,10.36,0.463158,0.74747,9e-05,AUTENTIK,FRAGANCIAS,ACTIVO,202210.0
100,202205,PE,CONSULTORA,MASIVO,2321_2477_289094_289094,1,INDIVIDUAL,P0772491984,40,HOGAR,C,CYZONE,HOGAR,34,HOGAR,610,BELLEZA,0,0,,135.0,54.9,1.0,2652.2,0.593333,0.593333,0.000446,,,,
102,202208,PE,CONSULTORA,MASIVO,2658_2799_303687_303687,3,SET,P0132053000,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,CZ SL LABIAL MATE 6ML,36.0,19.23,1.0,97.8,0.465833,0.778,6e-05,STUDIO LOOK,PARA LABIOS,LIQUIDACIÓN,202303.0
108,202212,PE,CONSULTORA,MASIVO,1162_1265_322007_322007,999,VOLUMEN,200039855,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ NITRO 100ML,84.0,20.0,5.0,203228.4,0.761905,0.75554,0.090015,NITRO,MASCULINO,ANTES DE APARECER (NUEVO),202417.0
109,202404,PE,CONSULTORA,MASIVO,2405_2569_57545_57545,1,INDIVIDUAL,P0509654079,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,512,BOLSO,0,0,,100.0,49.9,1.0,0.0,0.501,0.558407,0.0,,,,
111,202204,PE,CONSULTORA,MASIVO,1328_1432_283279_283279,1,INDIVIDUAL,P0509304000,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,398,MALETIN,0,0,,116.0,54.9,1.0,107669.53,0.526724,0.526724,0.018449,,,,
114,202209,PE,CONSULTORA,MASIVO,1192_1245_306786_306786,999,VOLUMEN,200094936,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,CZ TASTE COOL 200ML,48.0,21.9,1.0,1447.68,0.54375,0.5328,0.000612,TASTE COOL,FEMENINO,ANTES DE APARECER (NUEVO),202502.0
118,202315,PE,CONSULTORA,MASIVO,1151_1279_22789_22789,999,VOLUMEN,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,13.99,10.0,711004.04,0.766833,0.766833,0.449277,PRINTS,DAMAS,INACTIVO,198601.0
120,202402,PE,CONSULTORA,MASIVO,1232_1369_42430_42430,999,VOLUMEN,200044012,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ DANCING 100ML,85.0,35.9,1.0,7422.53,0.577647,0.577647,0.001944,DANCING,DAMAS,INACTIVO,201401.0
123,202307,PE,CONSULTORA,MASIVO,3602_3763_393614_393614,1,INDIVIDUAL,210059944,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX MYSTERIOUS 150ML,48.0,22.9,1.0,2853.18,0.522917,0.522917,0.001065,TRAX,DESODORANTES,ACTIVO,202113.0
125,202211,PE,CONSULTORA,MASIVO,1107_1169_316884_316884,999,VOLUMEN,200101481,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,CZ UVA KISS COL 200 ML,48.0,14.98,6.0,11055.02,0.687917,0.679327,0.006604,UVA KISS,FAMILIAR BAÑO,A DESCONTINUAR CONGELADO,202107.0
128,202209,PE,CONSULTORA,MASIVO,3419_3535_309124_309124,2,SET,P0602103669,50,APOYO,C,CYZONE,PROMOCIONES DE 3ROS,72,PROMOCION USUARIOS,103,PULSERAS,0,0,,25.0,9.0,1.0,13747.99,0.64,0.648235,0.014147,,,,
129,202207,PE,CONSULTORA,MASIVO,1259_1323_297620_297620,999,VOLUMEN,200089168,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ SWEET BLACK 50ML,74.0,14.95,2.0,35349.26,0.797973,0.741882,0.021283,SWEET BLACK,DAMAS,ACTIVO,201714.0
130,202313,PE,CONSULTORA,MASIVO,1073_1125_14538_14538,999,VOLUMEN,200072593,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,CZ SANDIA SHAKE 200ML,52.0,19.95,2.0,4328.68,0.616346,0.603267,0.001907,SANDIA SHAKE,FAMILIAR BAÑO,A DESCONTINUAR CONGELADO,201906.0
132,202402,PE,CONSULTORA,MASIVO,1232_1367_42428_42428,999,VOLUMEN,200039855,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ NITRO 100ML,86.0,22.49,5.0,95489.86,0.738488,0.733846,0.039918,NITRO,MASCULINO,ANTES DE APARECER (NUEVO),202417.0
133,202403,PE,CONSULTORA,MASIVO,3004_3235_48236_48236,2,SET,200099686,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,CZ TASTE POP 200ML,52.0,15.9,1.0,2828.74,0.694231,0.696377,0.002443,TASTE POP,FAMILIAR BAÑO,A DESCONTINUAR CONGELADO,202006.0
143,202305,PE,CONSULTORA,MASIVO,1497_1973_379967_379967,999,VOLUMEN,200094936,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,CZ TASTE COOL 200ML,52.0,22.9,1.0,3125.01,0.559615,0.559615,0.001204,TASTE COOL,FEMENINO,ANTES DE APARECER (NUEVO),202502.0
144,202318,PE,CONSULTORA,MASIVO,2685_2875_36583_36583,3,SET,200109874,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ SWEETB EXCLSIVE EDP 50 ML,80.0,27.94,1.0,6085.75,0.65075,0.698947,0.001859,SWEET BLACK EXCLUSIVE,DAMAS,ACTIVO,202303.0
146,202404,PE,CONSULTORA,MASIVO,934_1030_55966_55966,999,VOLUMEN,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,14.98,6.0,0.0,0.750333,0.750333,0.0,PRINTS,DAMAS,INACTIVO,198601.0
150,202218,PE,CONSULTORA,MASIVO,1313_1526_355851_355851,2,SET,200105035,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,58,ANTI ACNE,0,0,CZ SKINF CR TRATA PURIFICA 15G,32.0,10.63,1.0,10586.74,0.667812,0.661607,0.008535,SKIN FIRST,PARA ROSTRO,LIQUIDACION CON PLAN,202114.0
155,202301,PE,CONSULTORA,MASIVO,1089_1136_361028_361028,2,SET,200100855,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,74,CUIDADO SOLAR,0,0,CZ SKIN F BLOQUEADOR 50 ML,54.0,18.98,1.0,6496.42,0.648519,0.648592,0.003255,SKIN FIRST,PARA ROSTRO,ANTES DE APARECER (NUEVO),202501.0
158,202303,PE,CONSULTORA,MASIVO,1225_1346_370179_370179,999,VOLUMEN,200106488,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,40,HUMECTANTES,0,0,CZ SKIN F CR OJOS DETOX 15G,38.0,16.9,1.0,15952.48,0.555263,0.555263,0.008263,SKIN FIRST,PARA OJOS,ACTIVO,201401.0
160,202312,PE,CONSULTORA,MASIVO,1145_1199_10273_10273,999,VOLUMEN,200099581,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,CZ SCORE ROLL ON 50ML,30.0,8.9,1.0,671.06,0.703333,0.703333,0.000639,SCORE,DESODORANTES,LIQUIDACIÓN,202115.0
163,202208,PE,CONSULTORA,MASIVO,1215_1330_302014_302014,999,VOLUMEN,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,10.9,1.0,31201.31,0.818333,0.689869,0.025373,PRINTS,DAMAS,INACTIVO,198601.0
167,202212,PE,CONSULTORA,MASIVO,1162_1258_322000_322000,999,VOLUMEN,200039855,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ NITRO 100ML,84.0,35.9,1.0,8274.37,0.572619,0.572619,0.002042,NITRO,MASCULINO,ANTES DE APARECER (NUEVO),202417.0
172,202307,PE,CONSULTORA,MASIVO,4092_4314_394258_394258,999,VOLUMEN,200107324,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,40,HUMECTANTES,0,0,CZ SKIN F SERU HIDRATANTE 19ML,54.0,21.2,3.0,161.7,0.607407,0.607407,6.5e-05,SKIN FIRST,PARA ROSTRO,DUAL PLANNING,202211.0
175,202307,PE,CONSULTORA,MASIVO,4099_4362_394306_394306,999,VOLUMEN,200102063,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,382,MULTIFUNCIONAL,0,0,CZ SL PALETA CHEEK&EYES 10.5G,84.0,35.3,2.0,59.83,0.579762,0.579762,1.4e-05,STUDIO LOOK,MIXTO,LIQUIDACIÓN,202105.0
178,202403,PE,CONSULTORA,MASIVO,2948_3179_48000_48000,2,SET,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,16.63,1.0,17533.16,0.722833,0.722778,0.01447,PRINTS,DAMAS,INACTIVO,198601.0
183,202404,PE,CONSULTORA,MASIVO,2375_2539_57510_57510,1,INDIVIDUAL,200044012,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ DANCING 100ML,86.0,37.9,1.0,0.0,0.559302,0.556725,0.0,DANCING,DAMAS,INACTIVO,201401.0
186,202204,PE,CONSULTORA,MASIVO,1374_1478_283334_283334,2,SET,210095163,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,44,MASCARILLA FACIAL,0,0,CZ SKIN F MASCARILLA EYE P 1UN,16.0,2.5,2.0,1095.92,0.84375,0.776233,0.016232,SKIN FIRST,PARA ROSTRO,INACTIVO,202106.0
187,202218,PE,CONSULTORA,MASIVO,3524_3816_358429_358429,2,SET,200067317,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,CZ GIRLINK ROLL ON 50ML,18.0,6.41,1.0,3486.13,0.643889,0.643878,0.004911,GIRLINK,DESODORANTES,INACTIVO,201401.0
189,202216,PE,CONSULTORA,MASIVO,1168_1236_344213_344213,999,VOLUMEN,200099686,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,CZ TASTE POP 200ML,48.0,19.95,2.0,2975.92,0.584375,0.584375,0.001281,TASTE POP,FAMILIAR BAÑO,A DESCONTINUAR CONGELADO,202006.0
193,202307,PE,CONSULTORA,MASIVO,4151_4874_394818_394818,999,VOLUMEN,200105008,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ DANCING SUNSET EDP 90 ML,85.0,27.2,3.0,1313.85,0.68,0.68,0.000413,DANCING SUNSET,DAMAS,ACTIVO,202116.0
194,202208,PE,CONSULTORA,MASIVO,1178_1250_301895_301895,2,SET,200094149,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ SWEET CHIC 50ML,70.0,28.0,1.0,21760.41,0.6,0.639048,0.00689,SWEET CHIC,DAMAS,LIQUIDACIÓN,201818.0
199,202306,PE,CONSULTORA,MASIVO,3389_4303_388323_388323,2,SET,200105079,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS XPERIENCE PARF 30ML,60.0,17.45,1.0,31443.24,0.709167,0.709167,0.015681,PRINTS XPERIENCE,DAMAS,ACTIVO,202201.0
201,202217,PE,CONSULTORA,MASIVO,3813_4319_353824_353824,999,VOLUMEN,200041664,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ BLUE&BLUE FOR HIM 75ML,80.0,23.3,3.0,1777.19,0.70875,0.70875,0.001156,BLUE&BLUE FOR HIM,CABALLEROS,ACTIVO,202216.0
202,202205,PE,CONSULTORA,MASIVO,1247_1354_287842_287842,999,VOLUMEN,210059944,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX MYSTERIOUS 150ML,45.0,14.97,4.0,40421.63,0.667333,0.679541,0.024964,TRAX,DESODORANTES,ACTIVO,202113.0
203,202308,PE,CONSULTORA,MASIVO,4195_4718_4660_4660,999,VOLUMEN,200042737,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ IN LOVE 50ML,80.0,24.0,1.0,20.34,0.7,0.7,7e-06,IN LOVE,DAMAS,LIQUIDACIÓN,201903.0
212,202310,PE,CONSULTORA,MASIVO,1089_1155_406556_406556,999,VOLUMEN,200099582,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,CZ FORZE ROLL ON 50ML,18.0,7.63,3.0,433.43,0.576111,0.593484,0.000486,FORZE,DESODORANTES,INACTIVO,202001.0
219,202403,PE,CONSULTORA,MASIVO,1384_1492_46345_46345,999,VOLUMEN,200109874,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ SWEETB EXCLSIVE EDP 50 ML,84.0,35.9,1.0,4319.72,0.572619,0.572619,0.001652,SWEET BLACK EXCLUSIVE,DAMAS,ACTIVO,202303.0
222,202307,PE,CONSULTORA,MASIVO,1362_1438_391270_391270,999,VOLUMEN,200094941,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,CZ TASTE WARM 200ML,52.0,19.95,2.0,5140.04,0.616346,0.601,0.002202,TASTE WARM,FEMENINO,ANTES DE APARECER (NUEVO),202502.0
223,202316,PE,CONSULTORA,MASIVO,3032_3207_28559_28559,3,SET,P0197145001,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,CY LL HYDRAFULL 4G,23.0,7.0,1.0,17499.57,0.695652,0.723148,0.020859,CY PLAY,PARA LABIOS,ACTIVO,202215.0
224,202401,PE,CONSULTORA,MASIVO,1113_1177_38861_38861,999,VOLUMEN,P0194056000,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,31,RUBOR,0,0,CZ CHEEK A CHICK 4.8G,44.0,12.47,4.0,52074.86,0.716591,0.716591,0.040575,CY,PARA ROSTRO,INACTIVO,201401.0
228,202213,PE,CONSULTORA,MASIVO,1289_1382_328069_328069,999,VOLUMEN,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,14.97,1.0,241.1,0.7505,0.787034,0.000141,PRINTS,DAMAS,INACTIVO,198601.0
232,202205,PE,CONSULTORA,MASIVO,1152_1249_287695_287695,1,INDIVIDUAL,P0509558000,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,512,BOLSO,0,0,,123.0,59.9,1.0,78170.9,0.513008,0.513008,0.012063,,,,
244,202312,PE,CONSULTORA,MASIVO,2705_3283_12283_12283,2,SET,P0132057001,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,CZ SL LL MATE 2G,38.0,12.45,1.0,1171.05,0.672368,0.654167,0.000812,STUDIO LOOK,PARA LABIOS,LIQUIDACIÓN,202105.0
245,202302,PE,CONSULTORA,MASIVO,2816_3284_368062_368062,3,SET,P0216057002,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,CZ CYP BRIL TINTED LIP OIL 4G,34.0,11.64,1.0,1646.67,0.657647,0.657576,0.001255,CY PLAY,PARA LABIOS,LIQUIDACIÓN,202216.0
