,COD_PERIODO,COD_PAIS,TARGET,ALCANCE,ESTRUCTURA_VENTA,COD_SUBESTRATEGIA,DES_SUBESTRATEGIA,COD_CUC,COD_UNIDAD_NEGOCIO,DES_UNIDAD_NEGOCIO,COD_MARCA,DES_MARCA,DES_CLASE,COD_CATEGORIA,DES_CATEGORIA,COD_TIPOSOLO,DES_TIPOSOLO,ES_EMPAQUE,ES_MUESTRA,DES_CUC,PRECIO_NORMAL,PRECIO_OFERTA,FACTOR_REPETICION,REAL_VENTA_NETA_MONEDA_LOCAL,OFFER_UNIT_DSCT,OFFER_DSCT,PUP,DESLINEA,DESSUBCATEGORIA,DESESTATUS,ANIOCAMPANAINTRO
6511,202309,PE,CONSULTORA,MASIVO,3247_3842_404944_404944,999,VOLUMEN,200105079,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS XPERIENCE PARF 30ML,60.0,16.79,10.0,1707.48,0.720167,0.720167,0.000918,PRINTS XPERIENCE,DAMAS,ACTIVO,202201.0
6520,202402,PE,CONSULTORA,MASIVO,1212_1284_42304_42304,999,VOLUMEN,200041665,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ BLUE&BLUE FOR HER 75ML,84.0,21.98,5.0,9351.15,0.738333,0.737081,0.004,BLUE&BLUE FOR HER,DAMAS,Inactivo,
6537,202404,PE,CONSULTORA,MASIVO,2205_2369_57255_57255,2,SET,P0132053000,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,CZ SL LABIAL MATE 6ML,38.0,10.67,1.0,0.0,0.719211,0.719231,0.0,STUDIO LOOK,PARA LABIOS,LIQUIDACIÓN,202303.0
6540,202317,PE,CONSULTORA,MASIVO,2791_3018_32677_32677,3,SET,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,16.84,1.0,3267.83,0.719333,0.719277,0.001569,PRINTS,DAMAS,INACTIVO,198601.0
6545,202206,PE,CONSULTORA,MASIVO,1289_1367_292784_292784,999,VOLUMEN,200099581,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,CZ SCORE ROLL ON 50ML,18.0,7.47,4.0,1296.6,0.585,0.585,0.001584,SCORE,DESODORANTES,LIQUIDACIÓN,202115.0
6550,202318,PE,CONSULTORA,MASIVO,1326_1412_35036_35036,999,VOLUMEN,200067292,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,CZ NITRO ROLL ON 50ML,18.0,7.63,3.0,2781.52,0.576111,0.576111,0.00311,NITRO,DESODORANTES,INACTIVO,201401.0
6551,202308,PE,CONSULTORA,MASIVO,1306_1373_1209_1209,1,INDIVIDUAL,200097947,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ SWEET BLACK INTENSE 50ML,80.0,29.9,1.0,36616.3,0.62625,0.62625,0.011002,SWEET BLACK INTENSE,DAMAS,ACTIVO,201912.0
6564,202305,PE,CONSULTORA,MASIVO,1431_1896_379850_379850,1,INDIVIDUAL,P0509654080,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,512,BOLSO,0,0,,96.0,44.9,1.0,79182.05,0.532292,0.532292,0.015566,,,,
6578,202404,PE,CONSULTORA,MASIVO,929_1011_55947_55947,999,VOLUMEN,200092025,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,CZ MISS SEXY PROVOCATIVE 200ML,52.0,22.9,1.0,0.0,0.559615,0.61237,0.0,MISS SEXY,FAMILIAR BAÑO,ACTIVO,202404.0
6588,202307,PE,CONSULTORA,MASIVO,1373_1487_391334_391334,999,VOLUMEN,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,16.07,1.0,21976.81,0.732167,0.732177,0.011693,PRINTS,DAMAS,INACTIVO,198601.0
6589,202215,PE,CONSULTORA,MASIVO,4200_4333_342178_342178,999,VOLUMEN,200105008,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ DANCING SUNSET EDP 90 ML,79.0,24.9,3.0,3608.64,0.68481,0.68481,0.001248,DANCING SUNSET,DAMAS,ACTIVO,202116.0
6595,202308,PE,CONSULTORA,MASIVO,4194_4683_4625_4625,999,VOLUMEN,200106357,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ AUTENTIK EDP 45 ML,90.0,29.9,1.0,25492.04,0.667778,0.667778,0.00735,AUTENTIK,DAMAS,ACTIVO,202210.0
6596,202306,PE,CONSULTORA,MASIVO,1266_1708_385299_385299,999,VOLUMEN,P0132053000,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,CZ SL LABIAL MATE 6ML,38.0,14.95,2.0,206331.96,0.606579,0.606579,0.120121,STUDIO LOOK,PARA LABIOS,LIQUIDACIÓN,202303.0
